token,symbol,name,exchange,segment,lot_size,sector
256265,NIFTY 50,NIFTY,NSE,INDICES,25,N/A
260105,NIFTY BANK,BANKNIFTY,NSE,INDICES,15,N/A
341249,HDFCBANK,HDFC BANK,NSE,EQUITY,1,BANKING
1270529,ICICIBANK,ICICI BANK,NSE,EQUITY,1,BANKING
779521,SBIN,STATE BANK OF INDIA,NSE,EQUITY,1,BANKING
884737,TATAMOTORS,TATA MOTORS,NSE,EQUITY,1,AUTO
738561,RELIANCE,RELIANCE INDUSTRIES,NSE,EQUITY,1,ENERGY
408065,INFY,INFOSYS,NSE,EQUITY,1,IT
2953217,TCS,TATA CONSULTANCY SERVICES,NSE,EQUITY,1,IT
969473,WIPRO,WIPRO,NSE,EQUITY,1,IT
895745,TATASTEEL,TATA STEEL,NSE,EQUITY,1,METALS
